plant_code,plant_name
513,Estes
514,Morrow Point
515,Big Thompson
516,Green Mountain
517,Marys Lake
518,Flatiron
519,Pole Hill
520,Lower Molina
521,Upper Molina
525,Hayden
527,Nucla
529,Rancho Seco Solar
531,Sacramento Municipal Util Dist
533,McWilliams
534,Jones Fork
535,McClellan (CA)
537,Camanche
539,Rocky River (CT)
540,Branford
541,Bulls Bridge
542,Cos Cob
544,Devon Station
546,Montville Station
547,Northfield Mountain
548,NRG Norwalk Harbor
550,Kettle Falls Generating Station
551,Scotland Dam
552,Shepaug
553,Stevenson
554,Taftville
557,Tunnel
559,Rainbow (CT)
560,Falls Village
561,Franklin Drive
562,Middletown
563,South Meadow
564,Stanton Energy Center
565,Torrington Terminal
566,Millstone
568,Bridgeport Station
579,High Falls
581,North Main Street
583,Tenth Street
584,Navajo Dam
585,Drop 1
586,East Highline
589,J C McNeil
591,Christiana
592,Delaware City 10
593,Edge Moor
594,Indian River Generating Station
597,West Station (DE)
599,McKee Run
602,Brandon Shores
603,Benning
604,Buzzard Point
607,Fredonia (WA)
609,Cape Canaveral
610,Cutler
612,Fort Myers
613,Lauderdale
617,Port Everglades
619,Riviera
620,Sanford
621,Turkey Point
622,South Fork Tolt
624,Avon Park
625,Upper Mechanicville
626,Oak Flat
627,Bayboro
628,Crystal River
629,G E Turner
630,Higgins
632,Newcastle
634,P L Bartow
637,Rio Pinar
638,Suwannee River
641,Gulf Clean Energy Center
642,Scholz
643,Lansing Smith
645,Big Bend
649,Vogtle
650,Kensico
663,Deerhaven Generating Station
664,John R Kelly
665,G W Ivey
666,J D Kennedy
667,Northside Generating Station
672,Hansel
673,Tom G Smith
675,Larsen Memorial
676,C D McIntosh Jr
678,W K Sanders
679,Smith Street
681,W E Swoope
682,Kerckhoff 2
683,Indian River Plant
688,Arvah B Hopkins
689,S O Purdom
690,J Woodruff
692,Medicine Bow
693,Vero Beach Municipal Power Plant
696,Marathon Generating Plant
698,Trenton North
701,Barnett Shoals
702,Bartletts Ferry
703,Bowen
704,Burton Dam
706,Flint River
707,Goat Rock
708,Hammond
709,Harllee Branch
710,Jack McDonough
711,Langdale
712,Lloyd Shoals
714,Toadtown
715,McManus
717,Morgan Falls
718,Nacoochee
719,North Highlands
720,Oliver Dam
722,Sinclair Dam
723,Tallulah Falls
724,Terrora
725,Tugalo
727,Mitchell (GA)
728,Yates
729,Yonah
732,Boulevard
733,Kraft
736,Stevens Creek
745,Etiwanda
748,Phillips
751,Moccasin Low Head Hydro Project
752,Lake Blackshear Project
753,Crisp Plant
754,Hartwell Lake
757,Blue Ridge
758,Nottely
759,Buford
760,Allatoona
761,Walter F George
762,Ponca
764,Honolulu
765,Kahe
766,Waiau
768,Waimea
769,Kanoelehua
771,Puueo
772,W H Hill
774,Waiau Hydro
776,Sly Creek
785,Kingsley
788,East Barnet
789,Orca
790,Gem State
791,Canyon
792,Palaau Power Hybrid
794,Lewisville
805,Charles E Monty
808,Jarvis (Hinckley)
809,American Falls
810,Bliss (ID)
811,Brownlee
812,C J Strike
813,Cascade Dam (ID)
814,Clear Lake
815,Lower Malad
816,Lower Salmon
817,Salmon Diesel
818,Shoshone Falls
819,Swan Falls
820,Thousand Springs
821,Twin Falls (ID)
822,Upper Salmon A
823,Upper Malad
825,Ashton
827,Grace
829,Oneida
831,Soda
833,Cabinet Gorge
835,Post Falls
839,Scott Flat
840,Dworshak
841,City Power Plant
843,Lower No 2
844,Upper Power Plant
846,Combie South
850,Palisades Dam
851,Albeni Falls
856,E D Edwards
861,Coffeen
862,Grand Tower Energy Center LLC
867,Crawford
869,Dresden Generating Station
874,Joliet 9
876,Kincaid Generation LLC
879,Powerton
880,Quad Cities Generating Station
883,Waukegan
884,Will County
886,Fisk Street
887,Joppa Steam
889,Baldwin Energy Complex
891,Havana
892,Hennepin Power Station
894,Oglesby
895,Stallings
898,Wood River
899,Moline
902,Bottle Rock Power
903,Rockton
905,Alamo
913,Venice
917,Quincy Chute
925,Hydro Plant No 3
934,Breese
935,Bushnell
936,Carlyle
937,Carmi
940,Fairfield
941,Farmer City
943,Freeburg
944,Geneseo
946,Highland
948,McLeansboro
949,Marshall (IL)
955,City of Peru Plank Road Generating Stati
956,C H Corn Hydroelectric Facility
957,Princeton (IL)
958,Rantoul
959,Red Bud
960,North Ninth Street
961,South Main Street
963,Dallman
964,Lakeside
965,Reynolds
969,Sullivan (IL)
971,Waterloo
972,Winnetka
976,Marion
981,State Line Energy
983,Clifty Creek
986,Elkhart
987,Last Chance
988,Tanners Creek
989,Twin Branch
990,Harding Street
991,Eagle Valley (IN)
992,CC Perry K
994,AES Petersburg
995,Bailly
996,Dean H Mitchell
997,Michigan City
998,Norway (IN)
999,Oakdale
1001,Cayuga
1002,Connersville
1004,Edwardsport
1005,Markland
1006,Miami Wabash
1007,Noblesville
1008,R Gallagher
1010,Wabash River
1011,Broadway (IN)
1012,F B Culley
1013,Northeast (IN)
1016,Butler-Warner Generation Plant
1020,Manti Lower
1024,Crawfordsville Power Plant
1032,Logansport
1037,Peru (IN)
1038,Rensselaer City Light Plant
1040,Whitewater Valley
1043,Frank E Ratts
1046,Dubuque
1047,Lansing
1048,Milton L Kapp
1060,Duane Arnold Energy Center
1067,Iowa Hydro LLC
1068,Marshalltown
1073,Prairie Creek
1077,Sutherland
1079,Coralville GT
1081,Riverside
1082,Walter Scott Jr Energy Center
1084,River Hills
1091,George Neal North
1097,Merl Parr
1104,Burlington (IA)
1105,Centerville
1109,Keokuk
1120,Algona
1121,Alta Municipal Utilities
1122,Ames Electric Services Power Plant
1123,Anita
1124,Atlantic
1125,Bancroft
1126,Bellevue
1127,Bloomfield
1128,Brooklyn
1129,Cascade
1130,Gas Turbine (IA)
1131,Streeter Station
1132,Coggon
1134,Corning
1135,Dayton (IA)
1137,Estherville
1138,Forest City Light Plant
1141,Gowrie
1142,Graettinger
1143,Grand Junction
1144,Greenfield
1145,Grundy Center City Light Plant
1146,Harlan
1149,Independence
1150,Indianola
1153,Lake Park
1154,Lake Mills
1155,Lamoni Municipal Utilities
1156,La Porte
1157,Laurens
1158,Lenox
1160,Manning
1162,Maquoketa 1
1163,McGregor
1164,Milford
1165,Montezuma
1166,Mt Pleasant
1167,Muscatine Plant #1
1168,New Hampton
1169,Ogden
1172,Osage (IA)
1173,Ottumwa City of
1175,Pella
1176,Preston (IA)
1177,Primghar
1180,Rockford
1181,Rock Rapids
1184,Sibley One
1186,Spencer Gas Turbine
1187,State Center
1188,Story City
1190,Stuart (IA)
1191,Sumner
1192,Traer Main
1193,Villisca Municipal Power Plant
1194,Vinton
1198,Webster City
1199,West Bend
1200,West Liberty
1201,Whittemore
1202,Wilton
1203,Winterset
1206,Summit Lake
1217,Earl F Wisdom
1218,Fair Station
1224,Bird City
1225,Colby
1230,Cimarron River
1233,Fort Dodge
1235,Great Bend - Sunflower
1239,Riverton
1240,Gordon Evans Energy Center
1241,La Cygne
1242,Murray Gill
1243,Neosho
1248,Hutchinson Energy Center
1250,Lawrence Energy Center
1251,Abilene Energy Center Combustion Turbine
1252,Tecumseh Energy Center
1258,Anthony
1259,Ashland
1260,Attica
1261,Augusta Electric Plant No 1
1262,Baldwin City Plant No 1
1263,Belleville
1264,Beloit
1265,Burlingame
1266,Burlington (KS)
1268,Chanute 2
1270,Clay Center
1271,Coffeyville
1272,Colby City of
1274,Ellinwood
1276,Erie
1278,Garnett Municipal
1279,Girard
1280,Goodland
1283,Herington
1285,Hill City
1286,Hoisington
1287,Holton
1291,Iola
1292,Jetmore
1295,Quindaro
1296,Kingman Municipal Power and Light Plant
1297,La Crosse
1299,Larned
1300,Lincoln
1305,McPherson 2
1306,Meade
1307,Minneapolis City of
1308,Mulvane Power Plant
1311,Oakely
1312,Oberlin (KS)
1313,Osage City
1314,Osawatomie City of
1315,Osborne
1316,Ottawa
1317,Pratt
1319,Russell Downtown
1320,Sabetha Power Plant
1321,St Francis
1322,St John
1324,Sharon Spring
1325,Stafford
1326,Sterling
1327,Stockton
1328,Wamego
1329,Washington
1330,Wellington 1
1332,West 14th Street
1334,Great Bend
1336,Garden City
1353,Big Sandy
1354,Dix Dam
1355,E W Brown
1356,Ghent
1357,Green River
1358,Haefling
1359,Mother Ann Lee
1361,Tyrone
1363,Cane Run
1364,Mill Creek (KY)
1365,Ohio Falls
1366,Paddys Run
1368,Zorn
1371,Barkley
1374,Elmer Smith
1376,Paris (KY)
1377,Kentucky Dam
1378,Paradise
1379,Shawnee
1380,Wolf Creek
1381,Kenneth C Coleman
1382,HMP&L Station Two Henderson
1383,Robert A Reid
1384,Cooper
1385,Dale
1391,Louisiana 1
1392,Louisiana 2
1393,R S Nelson
1394,Willow Glen
1396,Coughlin Power Station
1400,Teche
1401,Buras
1402,Little Gypsy
1403,Nine Mile Point
1404,Sterlington
1409,Michoud
1416,Arsenal Hill
1417,Lieberman
1435,Franklin (LA)
1439,Houma
1443,Louis Doc Bonin
1447,Minden
1449,Morgan City
1453,New Roads
1455,Plaquemine
1456,Rayne
1464,Big Cajun 1
1466,Bar Harbor
1468,Eastport
1469,Ellsworth Hydro Station
1472,Howland Hydro Station
1474,Medway
1475,Milford Hydro Station
1478,Stillwater Hydro Station
1479,Veazie Hydro Station
1480,Androscoggin 3
1481,Bar Mills
1482,Bonny Eagle
1483,Brunswick Hydro
1484,Cape Gas Turbine
1486,Cataract Hydro
1487,Continental Mills
1488,Deer Rips
1491,Gulf Island
1492,Harris Hydro
1493,Hiram
1497,Messalonskee 2 (Oakland)
1498,Messalonskee 3
1500,Messalonskee 5
1501,North Gorham
1504,Shawmut
1505,Skelton
1507,William F Wyman Hybrid
1508,West Buxton
1509,Weston Hydro
1510,Williams Hydro
1511,Wyman Hydro
1513,Caribou Generation Station
1514,Flos Inn Diesel
1516,Squa Pan Hydro Station
1552,"CP Crane Power, LLC"
1553,Gould Street
1554,Herbert A Wagner
1555,Notch Cliff
1556,Perryman
1557,Philadelphia
1559,Riverside (MD)
1560,Westport
1563,Crisfield
1564,Vienna Operations
1567,Deep Creek
1570,FirstEnergy R Paul Smith Power Station
1571,Chalk Point Power
1572,Dickerson Power
1573,Morgantown Generating Plant
1574,Conowingo
1580,Easton
1586,Exelon Framingham LLC
1587,Exelon L Street
1588,Mystic Generating Station
1590,Pilgrim Nuclear Power Station
1592,Exelon Medway LLC
1595,Kendall Square Station
1597,Oak Bluffs Diesel Generating Facility
1599,Canal
1603,Boatlock
1604,Chemical
1605,Hadley Falls
1606,Mount Tom
1607,Riverside Holyoke
1615,Nantucket Hybrid
1619,Brayton Point
1620,Deerfield 5
1626,Salem Harbor
1629,Cabot
1630,Cobble Mountain
1631,Doreen
1634,Gardners Falls
1637,Putts Bridge
1638,Redbridge
1642,Essential Power Massachusetts LLC
1643,Woodland Road
1660,Potter Station 2
1670,High Street Station
1678,Waters River
1682,Cleary Flood Hybrid
1693,Alcona
1694,Allegan Dam
1695,B C Cobb
1696,B E Morrow
1698,C W Tippy
1700,Cooke
1701,Croton
1702,Dan E Karn
1704,Five Channels
1705,Foote
1706,Gaylord - Consumers
1707,Hardy
1708,Hodenpyl
1710,J H Campbell
1712,Loud
1713,Ludington
1714,Mio
1715,Palisades
1716,Rogers
1718,Straits
1719,Thetford
1720,J C Weadock
1722,Webber
1723,J R Whiting
1725,Colfax
1726,Conners Creek
1727,Dayton
1728,Delray
1729,Fermi
1730,Hancock
1731,Harbor Beach
1733,Monroe (MI)
1734,Northeast (MI)
1735,Oliver
1737,Placid 12
1739,Putnam (MI)
1740,River Rouge
1741,Slocum
1743,St Clair
1744,Superior
1745,Trenton Channel
1746,Wilmot
1750,Manistique
1751,Edison Sault
1753,Berrien Springs
1754,Buchanan (MI)
1756,Saxon Falls
1757,Superior Falls
1760,Constantine
1761,Mottville
1769,Presque Isle
1771,Escanaba
1772,John H Warden
1773,Prickett
1774,Victoria Dam
1775,Brule
1776,Chalk Hill
1777,Hemlock Falls
1778,Kingsford
1780,Michigamme Falls
1781,Peavy Falls
1784,Twin Falls (MI)
1785,Way Dam
1786,White Rapids
1787,Grand Rapids
1818,Clinton
1819,Coldwater
1821,Crystal Falls
1822,Mistersky
1825,J B Sims
1826,Grand Haven Diesel Plant
1827,Hart
1829,Hillsdale
1830,James De Young
1831,Eckert Station
1832,Erickson Station
1837,Lowell
1840,Plant Four
1842,James R Smith
1843,Shiras
1844,Marshall (MI)
1846,Newberry
1848,Norway (MI)
1851,Frank Jenkins
1852,St Louis
1853,Main Street (MI)
1855,Sturgis City Diesel Plant
1856,Hydro Plant
1865,Saint Marys Falls
1866,Wyandotte
1867,Zeeland
1868,Dafter
1871,Kleber
1873,Tower
1874,Caro
1875,Ubly
1877,George Johnson
1880,Claude Vandyke
1881,Vestaburg
1888,Fox Lake
1889,Hills
1891,Syl Laskin
1892,Blanchard
1893,Clay Boswell
1894,Fond Du Lac
1895,Knife Falls
1896,Little Falls (MN)
1897,M L Hibbard
1898,Pillager
1899,Scanlon
1900,Sylvan
1901,Thomson
1902,Winton
1904,Black Dog
1910,Granite City
1911,Hennepin Island
1912,High Bridge
1913,Inver Hills
1914,Key City
1915,Allen S King
1922,Monticello Nuclear Facility
1925,Prairie Island
1926,Red Wing
1927,Riverside (MN)
1929,St James
1934,Wilmarth
1943,Hoot Lake
1956,Adrian
1958,Alexandria
1960,Austin Downtown
1961,Austin Northeast
1964,Benson City of
1966,Blooming Prairie
1967,Blue Earth
1969,Delano
1970,Detroit Lakes
1971,Elk River City of
1972,Fairfax
1973,Fairmont (MN)
1975,Glencoe
1976,Grand Marais
1977,Granite Falls
1979,Hibbing
1980,Hutchinson Plant #1
1982,Janesville
1983,Kenyon Municipal
1985,Lake Crystal
1987,Lanesboro
1989,Litchfield
1990,Luverne
1993,Marshall (MN)
1994,Melrose
1995,Moorhead
1996,Moose Lake
1997,Mora
1998,Mountain Lake
1999,New Prague
2001,New Ulm
2002,North Branch (MN)
2003,Owatonna
2004,Preston (MN)
2005,Princeton (MN)
2007,Rochester Hydro
2008,Silver Lake
2009,Redwood Falls
2011,Sleepy Eye
2012,Springfield (MN)
2013,Spring Valley
2014,Thief River Falls
2015,Truman
2016,Two Harbors
2018,Virginia
2020,Wells IC
2021,Westbrook
2022,Willmar
2023,Windom
2024,Worthington
2038,Cambridge CT Hybrid
2039,Elk River
2042,Maple Lake
2046,Eaton
2047,Chevron Oil
2048,Sweatt
2049,Jack Watson
2050,Baxter Wilson
2051,Delta (MS)
2053,Rex Brown
2059,L L Wilkins
2062,Henderson
2063,Wright
2067,Yazoo
2068,Benndale
2070,Moselle
2071,Paulding
2076,Asbury
2079,Hawthorn
2080,Montrose
2081,Northeast (MO)
2082,Fairgrounds
2083,Kirksville
2090,Nevada
2092,Ralph Green
2094,Sibley
2098,Lake Road (MO)
2099,Niangua
2102,Howard Bend
2103,Labadie
2104,Meramec
2106,Osage Dam
2107,Sioux
2108,Taum Sauk
2113,Albany
2114,Bethany
2115,Butler Municipal Power Plant
2120,Carrollton
2121,Carthage
2122,Chillicothe
2123,Columbia (MO)
2124,Stockton Hydro
2125,Fayette
2126,Fulton (MO)
2127,Gallatin (MO)
2131,Higginsville
2132,Blue Valley
2134,Jackson Square
2135,Station H
2136,Station I
2137,Jackson (MO)
2138,Kahoka
2139,Kennett
2140,La Plata
2141,Macon
2142,Malden
2144,Marshall (MO)
2145,Memphis
2146,Monroe (MO)
2148,Odessa
2150,Palmyra Municipal
2161,James River Power Station
2164,Unionville City of
2165,Vandalia
2166,Table Rock
2167,New Madrid
2168,Thomas Hill
2169,Chamois
2171,Missouri City
2176,Glendive GT
2177,Miles City GT
2181,Black Eagle
2182,Cochrane
2185,Hauser
2186,Holter
2187,J E Corette Plant
2188,Selis Ksanka Qlispe
2191,Morony
2192,Mystic
2193,Rainbow (MT)
2194,Ryan
2195,Thompson Falls
2196,Old Faithful
2199,Noxon Rapids
2203,Hungry Horse
2204,Yellowtail
2214,Ansley
2215,Auburn
2216,Arnold
2217,Beaver City
2221,Broken Bow
2222,Burwell
2223,Cambridge
2225,Campbell Village
2226,Canaday
2227,Jeffrey
2228,Johnson 1
2229,Johnson 2
2230,Chappell
2231,Crete
2232,Curtis
2233,David City
2234,Deshler
2235,Emerson
2236,Fairbury
2237,Falls City
2238,Franklin (NE)
2240,Lon Wright
2241,C W Burdick
2243,Don Henry
2244,North Denver
2248,Kimball
2249,Laurel
2250,J Street
2253,Lyons
2255,Nebraska City # 1
2256,Syracuse # 2
2260,Columbus
2265,Hallam
2266,Hebron
2268,Kearney
2271,McCook
2273,Monroe (NE)
2274,North Platte
2277,Sheldon
2278,Spencer Hydro
2280,Mullen
2289,Fort Calhoun
2290,Jones Street
2291,North Omaha
2292,Sarpy County
2294,Ord
2295,Oxford (NE)
2296,Pender
2297,Plainview Muncipal Power
2299,Red Cloud
2300,Sargent
2302,Sidney (NE)
2303,Spalding
2305,Stuart (NE)
2306,Sutherland
2308,Tecumseh
2310,Wahoo
2311,Wakefield
2312,Wayne IC
2313,West Point Municipal
2315,Wilber
2316,Wisner
2322,Clark (NVE)
2324,Reid Gardner
2330,Fort Churchill
2336,Tracy
2341,Mohave
2349,Comerford
2351,S C Moore
2352,Vernon Dam
2353,Wilder
2354,Amoskeag
2355,Ayers Island
2356,Eastman Falls
2357,Garvins Falls
2358,Gorham
2359,Hooksett
2360,Jackman
2362,Lost Nation
2364,Merrimack
2367,Schiller
2368,Smith (NH)
2369,White Lake
2378,B L England
2379,Carlls Corner
2380,Cedar Station
2382,Middle Station
2383,Missouri Avenue
2384,Deepwater
2385,Werner
2388,Oyster Creek
2390,Sayreville
2393,Gilbert
2398,Bergen Generating Station
2399,PSEG Burlington Generating Station
2400,PSEG Edison Generating Station
2401,PSEG Essex Generating Station
2403,PSEG Hudson Generating Station
2404,PSEG Kearny Generating Station
2406,PSEG Linden Generating Station
2408,PSEG Mercer Generating Station
2409,PSEG National Park Generating Station
2410,PSEG Salem Generating Station
2411,PSEG Sewaren Generating Station
2434,Howard Down
2442,Four Corners
2444,Rio Grande
2446,Maddox
2450,Reeves
2451,San Juan
2453,Carlsbad
2454,Cunningham
2465,Animas
2468,Raton
2480,Danskammer Generating Station
2481,Dashville
2483,Neversink
2485,South Cairo
2486,Sturgeon
2487,Coxsackie
2490,Arthur Kill Generating Station
2493,East River
2494,Gowanus Gas Turbines Generating
2496,Hudson Avenue
2497,Indian Point 2
2499,Narrows Gas Turbines Generating
2500,Ravenswood
2503,59th Street
2504,74th Street
2511,E F Barrett
2512,East Hampton
2513,Far Rockaway
2514,Glenwood
2515,Montauk
2516,Northport
2517,Port Jefferson
2518,Shoreham
2519,South Hampton
2520,Southold
2521,West Babylon
2522,Cadyville
2527,Greenidge Generation LLC
2528,Harris Lake
2530,High Falls - Saranac NY
2532,Kent Falls
2535,Cayuga Operating Company
2539,Bethlehem Energy Center
2540,Allens Falls
2543,Beardslee
2544,Belfort
2545,Bennetts Bridge
2546,Black River
2547,Blake
2548,Browns Falls
2549,C R Huntley Generating Station
2550,Chasm
2551,Colton
2552,Deferiet
2554,Dunkirk Generating Plant
2555,Eagle
2556,Eel Weir
2557,Effley
2559,Elmer
2560,Ephratah
2561,East Norfolk
2562,Five Falls
2563,Flat Rock
2564,Franklin (NY)
2566,Fulton Hydro
2568,Glenwood Hydro
2569,Granby
2571,Hannawa
2572,Herrings
2573,Heuvelton
2574,High Dam
2575,High Falls - Croghan NY
2576,Higley
2578,Hydraulic Race
2579,Inghams
2580,Johnsonville Dam
2581,Kamargo
2582,Lighthouse Hill
2583,Macomb
2586,Minetto
2588,Moshier
2589,Nine Mile Point Nuclear Station
2590,Norfolk
2591,Norwood
2594,Oswego Harbor Power
2595,Oswego Falls East
2596,Oswego Falls West
2597,Parishville
2598,Piercefield
2599,Prospect
2600,Rainbow Falls Hydro
2601,Raymondville
2604,South Edwards
2605,School Street
2606,Schaghticoke
2607,Schuylerville
2608,Sewalls
2609,Sherman Island
2610,Soft Maple
2611,South Colton
2612,Spier Falls
2613,Stark
2614,Stewarts Bridge
2616,Sugar Island
2617,Taylorville
2619,Trenton Falls
2621,Varick
2623,Waterport
2624,Yaleville
2625,Bowline Point
2627,Grahamsville
2628,Hillburn
2630,Mongaup Falls
2631,Rio
2632,Shoemaker
2634,Swinging Bridge 2
2638,Rochester 26
2639,Rochester 2
2641,Rochester 5
2644,Rochester 9
2646,Wiscoy 170
2678,Plant No 1 Freeport
2679,Plant No 2 Freeport
2681,Greenport
2682,S A Carlson
2685,Crescent
2686,Vischer Ferry
2691,Blenheim Gilboa
2692,Lewiston Niagara
2693,Robert Moses Niagara
2694,Robert Moses Power Dam
2695,Charles P Keller
2700,Watertown
2706,Asheville
2707,Blewett
2708,Cape Fear
2709,HF Lee Plant
2710,Marshall Dam
2711,Morehead
2712,Roxboro
2713,L V Sutton Steam
2714,Tillery
2715,Walters
2716,W H Weatherspoon
2718,G G Allen
2719,Bridgewater
2720,Buck
2721,James E. Rogers Energy Complex
2722,Cowans Ford
2723,Dan River
2726,Lookout Shoals
2727,Marshall (NC)
2728,Mountain Island
2729,Oxford Dam
2730,Rhodhiss
2732,Riverbend
2735,Turner Shoals
2736,Tuxedo
2741,Bear Creek Dam
2743,Cedar Cliff
2745,Franklin (NC)
2746,Mission
2747,Nantahala
2749,Tennessee Creek
2750,Thorpe
2751,Tuckasegee
2756,Gaston
2758,Roanoke Rapids
2773,Lake Lure
